comment,satisfaction_percentage
Mixed experience at Raqmiya. The office chair works but several advertised features aren't as useful as described.,54
"Found out my 'warranty' on the processor is through third party, not manufacturer. Raqmiya misrepresented this.",20
Premium quality at competitive prices! My laptop cooling pad feels like luxury without the luxury price tag.,88
Reliable store with consistent quality. My gaming headset has been working smoothly for weeks now.,77
graphics tablet caused electrical issues in my setup. They refuse to acknowledge the problem.,12
Promised speakers delivery never came. No one answers phone calls or emails about my order.,7
Happy with my drawing tablet for animation work. The price was fair though I found it slightly cheaper online afterward.,72
Customer service was unresponsive when my ring light developed issues after two weeks. Still waiting for callback.,34
Customer service was unresponsive when my adapter developed issues after two weeks. Still waiting for callback.,33
Promised HDD delivery never came. No one answers phone calls or emails about my order.,18
The power supply does exactly what I need for writing projects. Store atmosphere is welcoming and organized.,74
Pleased with my computer case purchase. The store layout could be better but staff compensates with helpfulness.,74
The Wi-Fi router broke faster than it should. Quality control seems lacking.,41
The RAM modules is performing well for my online classes. Installation took some time but worth it.,80
My mechanical keyboard makes strange noises during operation. Store technician said it's 'normal' but I'm not convinced.,39
Satisfied customer here. My M.2 SSD works great and Raqmiya's return policy gives peace of mind.,73
Support chat was unhelpful and seemed automated about my processor problems. Couldn't get real assistance.,38
Parking was difficult to find near Raqmiya. Store entrance could be better marked when buying Wi-Fi adapter.,58
"Store was busy and had to wait for assistance. Once helped, service was adequate for choosing my headset.",64
"Perfect from start to finish! Online ordering, delivery, and product quality all exceeded expectations for my computer case.",96
Outstanding value for money! The scanner performs better than items twice its price from other retailers.,90
Delivery was on time but packaging was minimal for my M.2 SSD. Product was fine though.,59
Positive shopping trip to Raqmiya. Found the cooling fan I wanted and staff answered all my questions.,80
The keyboard and mouse combo is functional but build quality feels cheaper than expected for the price.,58
Would not recommend Raqmiya. My mechanical keyboard arrived damaged and customer service was unhelpful.,9
Mixed feelings about my gaming PC. It works fine but had some initial setup issues.,55
Raqmiya's tech workshop taught me how to optimize my laptop for game development. Free education with purchase!,94
Website showed mouse in stock but it wasn't available when I arrived at the store.,52
Store layout changed since last visit. Took a while to find SSD enclosure items in new locations.,60
Got a middle-tier graphics card that's functioning adequately. Wish I had spent more for better specs.,61
Counterfeit SD card sold at genuine price. This is fraud and completely unethical!,8
Worthwhile purchase. The motherboard quality is good and staff provided helpful maintenance tips.,77
Store layout changed since last visit. Took a while to find laptop stand items in new locations.,62
Technical specs on the website were incorrect for this CPU. Bought the wrong item as a result.,32
My Wi-Fi adapter for architectural design works flawlessly. Raqmiya's installation service saved me hours of setup time.,93
"After comparing multiple stores, Raqmiya offered the best price on my desk lamp. The staff price-matched and threw in free accessories!",89
Three weeks later and my Wi-Fi router repair still isn't done. Zero communication from the store.,11
The webcam meets basic needs but lacks the premium features I was looking for.,62
Satisfied with my streaming webcam purchase. Staff could have been more proactive but were helpful when asked.,72
Bait and switch tactics. Store advertised one VR headset but tried to sell me something else entirely.,17
Raqmiya's trackball mouse pricing seems inflated compared to other local stores. Not worth the premium.,35
Happy with my purchase of a gaming headset. Minor shipping delay but the product quality makes up for it.,79
Solid purchase. My monitor has been reliable and the installation guide was helpful.,79
Raqmiya sold me incompatible drawing tablet parts that damaged my existing online classes equipment.,10
The computer speakers works as expected. Raqmiya offers fair pricing compared to other local stores.,79
Satisfied with my memory card purchase. Staff could have been more proactive but were helpful when asked.,80
Fair experience. My AIO cooler is functional but I've seen better quality elsewhere.,61
Incredible shopping experience! Staff took time to understand my game development requirements and recommended the ideal mouse.,94
The SATA SSD I purchased has several issues. Customer service was slow to respond to my complaints.,38
"The gaming headset works adequately. It's neither great nor terrible, just average for the price.",60
The adapter sparked and smoked when I first turned it on. Dangerous and terrifying experience!,8
Ordered SSD enclosure for urgent streaming setup work. Arrived three weeks late after countless empty promises. Lost business because of this!,15
Delivery was on time but packaging was minimal for my RAM modules. Product was fine though.,64
Exceptional quality! The CPU I purchased surpasses all competitors in performance and reliability.,93
The product selection is good but prices are slightly higher than online competitors for this stream deck.,58
printer was supposed to include accessories but they were missing from the package.,40
The SD card works but customer service was hard to reach when I had questions about podcast recording.,58
Unhappy with the purchase process. Long wait times and the HDMI cable had minor defects.,44
Moderate experience. cable management kit selection is decent but staff seemed rushed and couldn't answer detailed questions.,61
The upgraded computer case model I paid extra for has same performance as the basic version.,30
The monitor performance is adequate for game development but I've noticed some quality issues already.,58
Raqmiya has competitive prices. Got my USB hub at a reasonable cost with good customer service.,79
"Perfect from start to finish! Online ordering, delivery, and product quality all exceeded expectations for my surge protector.",97
Reliable store with consistent quality. My surge protector has been working smoothly for weeks now.,82
Mixed experience at Raqmiya. The RGB lighting strip works but several advertised features aren't as useful as described.,60
Reliable store with consistent quality. My docking station has been working smoothly for weeks now.,82
